해양기상관측,"해양기상부이는 해수면에서 해양기상현상을 다양한 기상장비로 관측하고, 위성 등 원격통신을 이용하여 관측자료를 전송하며, 풍향, 풍속, 기압, 기온, 습도, 파고, 파주기, 파향, 수온 등을 1시간 간격으로 관측합니다.
등표기상관측장비는 등표나 관측탑 등의 해양 구조물에 기상관측장비를 설치하고 수중에는 해상상태를 측정할 수 있는 파고계 등을 설치하여 관측한 자료를 위성 및 CDMA등을 이용하여 전송하는 장비입니다. 등표기상관측장비에서 관측하는 요소는 풍향, 풍속, 기압, 기온, 파고, 파주기, 수온 등 입니다.
파고부이로 부터 관측된 자료를 DB에서 조회하고 CSV파일로 다운로드 받으실 수 있습니다.",2016-12-28,2018-04-30,국가기후데이터센터,02-2181-0887,[]
한국동서발전 연료 소비 현황,"동서발전의 석탄연료 사용 발전소별 월별 연료소비현황을 제공
* 단위
- 유연탄, 무연탄, LNG, 석회석, 고형연료 등 : 톤
- 고유황유, 저유황유, 등유, 바이오중유 : L",2014-12-24,2014-12-24,ICT총괄팀,070-5000-1486,['연료소비실적 조회 서비스']
조달청_업종코드정보,"업종정보(분류코드,근거법령 등 제공)",2016-10-25,2018-04-06,전자조달기획과,042-724-7124,['업종 및 근거법규 정보 조회']
공연전시정보조회서비스,공연전시정보조회서비스,2011-12-03,2017-12-22,-,,"['공연/전시상세정보조회', '분야별공연/전시목록조회', '기간별공연/전시목록조회', '지역별공연/전시목록조회']"
전력판매 총괄현황,2013년 월별 전력판매 총괄현황,2015-11-23,2015-11-30,,,"['시도 목록 조회', '시군구 목록 조회', '용도업종 목록 조회', '시군구별 용도업종별 전력사용현황 목록 조회', '월별 용도업종별 전력사용현황 목록 조회']"
항공기 운항정보,"한국공항공사에서 제공하는 공항코드정보,국내선 운항스케줄, 국제선 운항스케줄,실시간 운항정보",2012-12-06,2017-09-26,,,"['공항 코드 정보', '국내선 운항스케줄', '실시간 운항정보', '국제선 운항 스케줄']"
음식물쓰레기 배출정보,"RFID기반 음식물쓰레기 종량제 시행 지자체 음식물쓰레기 배출정보(요일별, 시간대별)",2016-10-07,2017-12-08,기획조정처정보팀,032-590-3287,"['공통코드 정보 목록 조회', '아파트 정보 목록 조회', '지자체 정보 목록 조회', '장비 정보 목록 조회', '장비상태 정보 목록 조회', '종합배출내역(시간별) 목록 조회', '종합배출내역(일별) 목록 조회', '종합배출내역(요일별) 목록 조회', '지자체별 배출내역(시간별) 목록 조회', '지자체별 배출내역(일별) 목록 조회', '지자체별 배출내역(요일별) 목록 조회', '지자체/아파트 배출내역(시간별) 목록 조회', '지자체/아파트 배출내역(일별) 목록 조회', '지자체/아파트 배출내역(요일별) 목록 조회']"
상세정보조회서비스(SOAP),특정 서지의 상세정보를 조회한다.,2013-09-03,2017-10-24,,,"['목차정보항목조회', '상세정보항목조회']"
연안정보도,"(국가연안공간정보) 기준점, 갯벌, 등심선, 수심, 하천, 해안선, 지형지명",2015-12-17,2015-12-24,연안계획과,,"['연안정보도 1:5000 축척 도엽정보 리스트 정보 현황', '연안정보도 1:5000 축척 도엽 상세정보 현황', '연안정보도 1:5000 축척 도엽 다운로드 정보 현황', '연안정보도 1:25000 축척 도엽정보 리스트 정보 현황', '연안정보도 1:25000 축척 도엽 상세정보 현황', '연안정보도 1:25000 축척 도엽 다운로드 정보 현황']"
건강보험심사평가원 질병별 병원평가 정보,"질병별 병원평가자료. 평가년도, 평가대상, 지표결과(평과등급) 등의 변수 포함.
질병별 병원평가항목으로는 혈액투석, 의료급여정신과, 고혈압, 당뇨병, 천식,급성심근경색증(AMI), 급성기뇌졸중 등의 항목이 있다.",2016-12-14,2016-12-14,의료정보융합실,033-739-1083,"['병원평가등급기준목록조회', '병원전체평가결과목록조회', '질병별평가결과목록조회', '수술별평가결과목록조회', '약평가결과목록조회', '수술별진료량평가결과목록조회', '암수술사망률평가결과목록조회', '요양병원평가결과목록조회', '종합병원중환자실평가결과목록조회']"
공동주택관리비,(공동주택관리정보)공동주택 관리비 투명성 확보를 위해 공동주택 관리주체(300세대 이상의 의무적 관리대상)가 관리비 내용을 공개,2015-12-28,2018-01-29,주택건설공급과,,['공동주택 기본 정보조회']
발전기실시간운영정보,5분주기의 전력계통 수급현황,2015-11-27,2018-01-16,정보기술처,061-330-8714,['오늘전력수급현황조회']
부산시 시내버스 운행정보 서비스,부산시 시내버스 운행정보 및 버스정보안내기 정보 제공,2017-10-27,2017-10-30,대중교통과,051-888-4484,"['정류소정보 조회', '노선정보 조회', '노선 정류소 조회', '정류소 도착정보 조회', '노선 정류소 도착정보 조회']"
습득물정보 조회 서비스,경찰청 홈페이지를 통해 습득물에 관한 정보를 조회 할 수 있다.,2017-05-24,2017-11-07,,,"['분류별, 지역별, 기간별 습득물 정보 조회', '습득물 명칭, 보관 장소별 습득물 정보 조회', '습득물 상세정보 조회', '습득물 위치기반 조회']"
조달청_계약정보,"나라장터 조달청계약요청 및 진행현황, 계약현황 정보를 조회 할 수 있는 서비스이다.",2016-12-28,2018-04-18,전자조달기획과,042-724-7124,"['계약현황에 대한 물품조회', '계약현황에 대한 물품세부조회', '나라장터검색조건에 의한 계약현황 물품조회', '계약현황에 대한 물품변경이력조회', '계약현황에 대한 물품삭제이력조회', '계약현황에 대한 공사조회', '계약현황에 대한 공사서비스정보조회', '나라장터검색조건에 의한 계약현황 공사조회', '계약현황에 대한 공사변경이력조회', '계약현황에 대한 공사삭제이력조회', '계약현황에 대한 용역조회', '계약현황에 대한 일반용역서비스정보조회', '계약현황에 대한 기술용역서비스정보조회', '나라장터검색조건에 의한 계약현황 용역조회', '계약현황에 대한 용역변경이력조회', '계약현황에 대한 용역삭제이력조회', '계약현황에 대한 외자조회', '계약현황에 대한 외자세부조회', '나라장터검색조건에 의한 계약현황 외자조회', '계약현황에 대한 외자변경이력조회', '계약현황에 대한 외자삭제이력조회']"
조달청_계약정보,"나라장터 조달청계약요청 및 진행현황, 계약현황 정보를 조회 할 수 있는 서비스이다.",2016-12-28,2018-04-18,전자조달기획과,042-724-7124,"['계약현황에 대한 물품조회', '계약현황에 대한 물품세부조회', '나라장터검색조건에 의한 계약현황 물품조회', '계약현황에 대한 물품변경이력조회', '계약현황에 대한 물품삭제이력조회', '계약현황에 대한 공사조회', '계약현황에 대한 공사서비스정보조회', '나라장터검색조건에 의한 계약현황 공사조회', '계약현황에 대한 공사변경이력조회', '계약현황에 대한 공사삭제이력조회', '계약현황에 대한 용역조회', '계약현황에 대한 일반용역서비스정보조회', '계약현황에 대한 기술용역서비스정보조회', '나라장터검색조건에 의한 계약현황 용역조회', '계약현황에 대한 용역변경이력조회', '계약현황에 대한 용역삭제이력조회', '계약현황에 대한 외자조회', '계약현황에 대한 외자세부조회', '나라장터검색조건에 의한 계약현황 외자조회', '계약현황에 대한 외자변경이력조회', '계약현황에 대한 외자삭제이력조회']"
실시간수도정보,"K-water가 관리하는 정수장 및 공급과정의 실시간 수질, 수위, 유량, 압력 정보",2016-01-05,2018-02-02,-,,"['1시간 수질정보 조회 서비스', '정수장 코드 조회 서비스', '공급지역 정수장 코드 조회 서비스']"
한국감정원 아파트 실거래가격지수,아파트 실거래가격지수 정보제공 데이터 입니다.,2016-07-28,2018-02-08,정보화기획부,053-663-8474,"['지역별 아파트 실거래가격지수 조회', '규모별 아파트 실거래가격지수 조회']"
농업농촌종합정보(인테러뱅),농촌진흥청에서 제공하는 국내외 산업 동향과 사회·경제적 의미를 담아 농업 기술의 가치에 관한 대국민 소통에 주력하는 인테러뱅 서비스,2014-12-02,2017-06-09,지식정보화담당관실,063-238-0490,"['농업농촌종합정보(인테러뱅) 상세보기 조회', '농업농촌종합정보(인테러뱅) 댓글보기 조회', '농업농촌종합정보(인테러뱅) 목록 조회']"
국악공연정보,국악공연정보,2015-06-23,2017-12-12,국악연구실,02-580-3094,['공연목록조회']
임대주택 단지정보,"LH 임대주택 단지 정보
공공임대주택의 단지 정보를 조회하기 위한 서비스로 주소, 단지명, 공급전용면적 등 공공임대주택 단지의 정보를 제공",2017-01-10,2017-09-11,-,,['임대주택목록 조회']
소방서위치조회서비스,"[ 문의처: 재난정보통신과 044-205-5289] 개방년도: 2014

○ 제공정보 : 소방서 위치를 조회 하는 서비스
○ 제공시스템 : 안전디딤딜돌앱, 국민재난안전포털(www.safekorea.kr), 재난안전데이터포털(data.mpss.go.kr)",2014-03-12,2017-01-24,,,['소방서 위치조회 서비스']
한국환경공단_대기오염통계 서비스,대기오염 통계 정보를 조회하기 위한 서비스로 각 측정소별 확정농도 정보와 기간별 통계수치 정보를 조회할 수 있다.,2013-12-05,2018-01-16,대기측정망팀,032-590-3506,"['측정소별 최종확정 농도 조회', '기간별 오염통계 정보 조회']"
국악자료정보,국악자료,2018-01-30,2018-01-31,국악연구실,02-580-3328,['아이템 목록 조회']
핸드폰 찾기 정보 조회 서비스,경찰청 홈페이지를 통해 분실한 핸드폰 정보를 조회 할 수 있다.,2017-05-24,2017-11-07,,,"['핸드폰 종류별, 습득 지역별, 기간별 정보 조회', '핸드폰 상세 정보 조회']"
경락가격정보서비스,"경락가격정보를 조회하기 위한 서비스로서 농산물, 축산물, 수산물, 화훼류, 산지공판장, 종합유통센터별로 조회할 수 있다.",2013-01-06,2014-10-21,정보화사업본부 정보기획실,044-861-8744,"['종합유통센터센터별경락가격조회', '농산물품목별경락가격조회', '농산물도매시장별경락가격조회', '농산물도매법인별경락가격조회', '축산물품목별경락가격조회', '축산물도축장별경락가격조회', '수산물품목별도매경락가격조회', '수산물도매시장별도매경락가격조회', '수산물품목별산지경락가격조회', '수산물위판장별산지경락가격조회', '화훼류양재동공판장별경락가격조회', '화훼류농협공판장별경락가격조회', '산지공판장품목별경락가격조회', '산지공판장별경락가격조회', '종합유통센터품목별경락가격조회']"
조달청_누리장터 관련정보,나라장터 민간개방 (누리장터 : 아파트관리사무소 등) 정보에 관련된 데이터 목록,2018-04-23,2018-04-23,전자조달기획과,042-724-7124,"['민간입찰공고정보에 대한 용역조회', '민간입찰공고정보에 대한 물품조회', '민간입찰공고정보에 대한 공사조회', '민간입찰공고정보에 대한 기타조회', '민간입찰공고정보에 대한 면허제한정보조회', '민간입찰공고정보에 대한 참가가능지역정보조회', '나라장터 검색조건에 의한 민간입찰공고정보에 대한 용역조회', '나라장터 검색조건에 의한 민간입찰공고정보에 대한 물품조회', '나라장터 검색조건에 의한 민간입찰공고정보에 대한 공사조회', '나라장터 검색조건에 의한 민간입찰공고정보에 대한 기타조회']"
